2026-06-08 17:31:32 | INFO | Epoch 1 | batch 1250/1829 | loss=1.1583 | giou=0.5102 | bbox=0.0682 | ce=0.0348 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=397 | aux_mask=543 | pos=23 | targets=23 | pre_nms=397 | post_nms=145 | post_verify=145 | thr=0.202 | centerness=[-1.437, -0.375] | train_seen=2500
2026-06-08 17:33:53 | INFO | Epoch 1 | batch 1300/1829 | loss=1.6318 | giou=0.7163 | bbox=0.1301 | ce=0.0346 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=406 | aux_mask=522 | pos=24 | targets=24 | pre_nms=406 | post_nms=197 | post_verify=197 | thr=0.200 | centerness=[-1.543, -0.504] | train_seen=2600
2026-06-08 17:36:14 | INFO | Epoch 1 | batch 1350/1829 | loss=1.1149 | giou=0.4727 | bbox=0.0626 | ce=0.0534 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=905 | aux_mask=1087 | pos=155 | targets=155 | pre_nms=905 | post_nms=209 | post_verify=209 | thr=0.200 | centerness=[-1.654, -0.426] | train_seen=2700
2026-06-08 17:38:35 | INFO | Epoch 1 | batch 1400/1829 | loss=1.0013 | giou=0.4215 | bbox=0.0692 | ce=0.0446 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=524 | aux_mask=607 | pos=57 | targets=57 | pre_nms=524 | post_nms=163 | post_verify=163 | thr=0.211 | centerness=[-1.876, -0.225] | train_seen=2800
2026-06-08 17:40:56 | INFO | Epoch 1 | batch 1450/1829 | loss=1.5799 | giou=0.6359 | bbox=0.2055 | ce=0.0513 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=597 | aux_mask=794 | pos=58 | targets=58 | pre_nms=245 | post_nms=87 | post_verify=87 | thr=0.200 | centerness=[-2.013, -0.450] | train_seen=2900
2026-06-08 17:43:16 | INFO | Epoch 1 | batch 1500/1829 | loss=1.2554 | giou=0.5266 | bbox=0.0918 | ce=0.0551 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=967 | aux_mask=951 | pos=136 | targets=136 | pre_nms=967 | post_nms=300 | post_verify=300 | thr=0.225 | centerness=[-1.142, -0.003] | train_seen=3000
2026-06-08 17:45:37 | INFO | Epoch 1 | batch 1550/1829 | loss=1.2535 | giou=0.5276 | bbox=0.1426 | ce=0.0278 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=480 | aux_mask=627 | pos=20 | targets=20 | pre_nms=480 | post_nms=77 | post_verify=77 | thr=0.200 | centerness=[-1.723, -0.779] | train_seen=3100
2026-06-08 17:47:59 | INFO | Epoch 1 | batch 1600/1829 | loss=0.9794 | giou=0.3991 | bbox=0.0373 | ce=0.0719 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=511 | aux_mask=469 | pos=123 | targets=123 | pre_nms=511 | post_nms=247 | post_verify=247 | thr=0.265 | centerness=[-1.259, 0.342] | train_seen=3200
2026-06-08 17:50:20 | INFO | Epoch 1 | batch 1650/1829 | loss=1.1361 | giou=0.4931 | bbox=0.0656 | ce=0.0421 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=901 | aux_mask=834 | pos=20 | targets=20 | pre_nms=901 | post_nms=222 | post_verify=222 | thr=0.211 | centerness=[-1.384, -0.221] | train_seen=3300
2026-06-08 17:52:42 | INFO | Epoch 1 | batch 1700/1829 | loss=1.2661 | giou=0.5444 | bbox=0.0501 | ce=0.0636 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1039 | aux_mask=1046 | pos=90 | targets=90 | pre_nms=1039 | post_nms=499 | post_verify=499 | thr=0.247 | centerness=[-1.363, 0.024] | train_seen=3400
2026-06-08 17:55:04 | INFO | Epoch 1 | batch 1750/1829 | loss=1.2539 | giou=0.5397 | bbox=0.0824 | ce=0.0460 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=324 | aux_mask=423 | pos=42 | targets=42 | pre_nms=324 | post_nms=94 | post_verify=94 | thr=0.226 | centerness=[-1.732, 0.021] | train_seen=3500
2026-06-08 17:57:25 | INFO | Epoch 1 | batch 1800/1829 | loss=1.5833 | giou=0.6102 | bbox=0.0461 | ce=0.0777 | aux_giou=0.0714 | aux_bbox=0.0133 | aux_ce=0.0026 | mask=592 | aux_mask=663 | pos=48 | targets=48 | pre_nms=592 | post_nms=384 | post_verify=384 | thr=0.263 | centerness=[-1.273, 0.177] | train_seen=3600
2026-06-08 18:25:30 | INFO | Epoch 1 | train_loss=1.566 | val_loss=1.573 | train_mae=77.691 | val_mae=116.756 | val_rmse=141.41 | test_mae=105.452 | test_rmse=162.03 | time=6795.397s | best_rmse
2026-06-08 18:27:53 | INFO | Epoch 2 | batch 50/1829 | loss=1.2934 | giou=0.5580 | bbox=0.1189 | ce=0.0293 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=622 | aux_mask=942 | pos=38 | targets=38 | pre_nms=622 | post_nms=156 | post_verify=156 | thr=0.200 | centerness=[-1.475, -0.495] | train_seen=100
2026-06-08 18:30:14 | INFO | Epoch 2 | batch 100/1829 | loss=1.6385 | giou=0.6870 | bbox=0.1112 | ce=0.0767 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=384 | aux_mask=611 | pos=112 | targets=112 | pre_nms=384 | post_nms=211 | post_verify=211 | thr=0.246 | centerness=[-1.445, -0.030] | train_seen=200
2026-06-08 18:32:35 | INFO | Epoch 2 | batch 150/1829 | loss=1.1407 | giou=0.4644 | bbox=0.1048 | ce=0.0536 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=632 | aux_mask=574 | pos=136 | targets=136 | pre_nms=632 | post_nms=215 | post_verify=215 | thr=0.205 | centerness=[-1.747, -0.316] | train_seen=300
2026-06-08 18:34:55 | INFO | Epoch 2 | batch 200/1829 | loss=1.5667 | giou=0.6093 | bbox=0.0988 | ce=0.0628 | aux_giou=0.0540 | aux_bbox=0.0089 | aux_ce=0.0033 | mask=765 | aux_mask=728 | pos=112 | targets=112 | pre_nms=765 | post_nms=272 | post_verify=272 | thr=0.221 | centerness=[-1.239, -0.219] | train_seen=400
2026-06-08 18:37:17 | INFO | Epoch 2 | batch 250/1829 | loss=1.0474 | giou=0.4436 | bbox=0.0708 | ce=0.0447 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=436 | aux_mask=478 | pos=47 | targets=47 | pre_nms=436 | post_nms=128 | post_verify=128 | thr=0.207 | centerness=[-1.691, -0.290] | train_seen=500
2026-06-08 18:39:39 | INFO | Epoch 2 | batch 300/1829 | loss=1.4761 | giou=0.6279 | bbox=0.0643 | ce=0.0780 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=882 | aux_mask=868 | pos=235 | targets=235 | pre_nms=881 | post_nms=378 | post_verify=378 | thr=0.224 | centerness=[-1.518, -0.020] | train_seen=600
2026-06-08 18:41:58 | INFO | Epoch 2 | batch 350/1829 | loss=1.3427 | giou=0.5686 | bbox=0.0815 | ce=0.0620 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1106 | aux_mask=1106 | pos=208 | targets=208 | pre_nms=1106 | post_nms=488 | post_verify=488 | thr=0.214 | centerness=[-1.312, -0.176] | train_seen=700
