2026-05-25 16:41:57 | INFO | Args: {'model_name': 'DGECO2FSCD', 'model_name_resumed': 'DGECO2FSCD', 'data_path': '/mnt/disk1/DINO-SAM-GECO2_3/data/FSC147_384_V2', 'dataset': 'fsc147', 'image_size': 1024, 'batch_size': 2, 'eval_batch_size': 2, 'val_batch_size': 2, 'test_batch_size': 2, 'num_workers': 8, 'max_train_batches': None, 'max_val_batches': None, 'max_test_batches': None, 'log_dir': '/mnt/disk1/DINO-SAM-GECO2_3/logs', 'run_name': None, 'log_interval': 50, 'model_path': '/mnt/disk1/DINO-SAM-GECO2_3/checkpoints', 'gpu': 0, 'max_grad_norm': 0.1, 'score_threshold': 0.3, 'score_ratio': 0.6, 'pre_nms_topk': 4096, 'max_detections': 4096, 'nms_iou': 0.5, 'dinov3_model_size': 'base', 'training': True, 'dinov3_pretrained_weights': '/mnt/disk1/DINO-SAM-GECO2_3/src/models/backbones/checkpoint/dinov3_vitb16_pretrain_lvd1689m-73cec8be.pth', 'backbone': 'DINOV3', 'reduction': 16, 'kernel_dim': 1, 'num_objects': 3, 'epochs': 200, 'resume_training': False, 'lr': 5e-05, 'backbone_lr': 5e-06, 'lr_drop': 10, 'weight_decay': 0.0001, 'tiling_p': 0.5, 'zero_shot': False, 'bbox_loss_coef': 1.0, 'giou_loss_coef': 2.0, 'ce_loss_coef': 1.0, 'aux_loss_coef': 0.5, 'cost_class': 2.0, 'cost_bbox': 1.0, 'cost_giou': 2.0, 'focal_alpha': 0.25, 'model_name_resume_from': 'base_3_shot_softmax1'}
2026-05-25 16:41:57 | INFO | Running pure single-GPU training on device: cuda:0
2026-05-25 17:24:50 | INFO | Epoch 1 | batch 1200/1829 | loss=1.1137 | giou=0.5186 | bbox=0.0523 | ce=0.0242 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1117 | aux_mask=2016 | pos=61 | targets=61 | preds=0 | centerness=[-3.044, -1.298] | train_seen=2400
2026-05-25 17:26:36 | INFO | Epoch 1 | batch 1250/1829 | loss=1.4728 | giou=0.6529 | bbox=0.1378 | ce=0.0292 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=958 | aux_mask=1378 | pos=63 | targets=63 | preds=53 | centerness=[-3.169, -0.487] | train_seen=2500
2026-05-25 17:28:22 | INFO | Epoch 1 | batch 1300/1829 | loss=1.9457 | giou=0.8077 | bbox=0.1251 | ce=0.0586 | aux_giou=0.0670 | aux_bbox=0.0084 | aux_ce=0.0043 | mask=648 | aux_mask=1155 | pos=129 | targets=129 | preds=0 | centerness=[-2.388, -0.997] | train_seen=2600
2026-05-25 17:30:09 | INFO | Epoch 1 | batch 1350/1829 | loss=1.1977 | giou=0.5546 | bbox=0.0332 | ce=0.0554 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=865 | aux_mask=964 | pos=268 | targets=268 | preds=428 | centerness=[-2.404, -0.296] | train_seen=2700
2026-05-25 17:31:56 | INFO | Epoch 1 | batch 1400/1829 | loss=1.2187 | giou=0.5364 | bbox=0.1172 | ce=0.0288 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=768 | aux_mask=1014 | pos=72 | targets=72 | preds=0 | centerness=[-2.952, -0.895] | train_seen=2800
2026-05-25 17:33:42 | INFO | Epoch 1 | batch 1450/1829 | loss=1.2560 | giou=0.5659 | bbox=0.0801 | ce=0.0440 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=784 | aux_mask=937 | pos=206 | targets=206 | preds=442 | centerness=[-3.095, -0.518] | train_seen=2900
2026-05-25 17:35:29 | INFO | Epoch 1 | batch 1500/1829 | loss=1.5127 | giou=0.7116 | bbox=0.0508 | ce=0.0387 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=569 | aux_mask=706 | pos=82 | targets=82 | preds=301 | centerness=[-2.165, -0.531] | train_seen=3000
2026-05-25 17:37:15 | INFO | Epoch 1 | batch 1550/1829 | loss=1.3049 | giou=0.5878 | bbox=0.0769 | ce=0.0524 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=677 | aux_mask=692 | pos=168 | targets=168 | preds=4 | centerness=[-2.666, -0.801] | train_seen=3100
2026-05-25 17:39:02 | INFO | Epoch 1 | batch 1600/1829 | loss=1.6124 | giou=0.6841 | bbox=0.0567 | ce=0.0495 | aux_giou=0.0627 | aux_bbox=0.0104 | aux_ce=0.0021 | mask=925 | aux_mask=1244 | pos=268 | targets=268 | preds=562 | centerness=[-2.177, -0.341] | train_seen=3200
2026-05-25 17:40:48 | INFO | Epoch 1 | batch 1650/1829 | loss=1.1060 | giou=0.4948 | bbox=0.0614 | ce=0.0551 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=619 | aux_mask=647 | pos=188 | targets=188 | preds=314 | centerness=[-2.523, -0.111] | train_seen=3300
2026-05-25 17:42:35 | INFO | Epoch 1 | batch 1700/1829 | loss=1.5633 | giou=0.6150 | bbox=0.0479 | ce=0.0832 | aux_giou=0.0930 | aux_bbox=0.0078 | aux_ce=0.0085 | mask=1168 | aux_mask=1264 | pos=576 | targets=576 | preds=1002 | centerness=[-1.858, 0.305] | train_seen=3400
2026-05-25 17:44:22 | INFO | Epoch 1 | batch 1750/1829 | loss=1.2874 | giou=0.5917 | bbox=0.0591 | ce=0.0448 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=726 | aux_mask=749 | pos=141 | targets=141 | preds=43 | centerness=[-2.637, -0.624] | train_seen=3500
2026-05-25 17:46:08 | INFO | Epoch 1 | batch 1800/1829 | loss=1.1646 | giou=0.5103 | bbox=0.1076 | ce=0.0363 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=727 | aux_mask=885 | pos=92 | targets=92 | preds=57 | centerness=[-3.048, -0.657] | train_seen=3600
2026-05-25 18:06:54 | INFO | Epoch 1 | train_loss=1.543 | val_loss=1.506 | train_mae=100.741 | val_mae=79.859 | val_rmse=116.49 | test_mae=89.245 | test_rmse=154.87 | time=5091.712s | best_rmse
2026-05-25 18:08:41 | INFO | Epoch 2 | batch 50/1829 | loss=1.1860 | giou=0.5371 | bbox=0.0714 | ce=0.0403 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=773 | aux_mask=1225 | pos=112 | targets=112 | preds=290 | centerness=[-2.766, -0.385] | train_seen=100
2026-05-25 18:10:28 | INFO | Epoch 2 | batch 100/1829 | loss=1.0175 | giou=0.4217 | bbox=0.0323 | ce=0.0260 | aux_giou=0.0560 | aux_bbox=0.0018 | aux_ce=0.0020 | mask=1038 | aux_mask=1408 | pos=112 | targets=112 | preds=71 | centerness=[-2.384, -0.124] | train_seen=200
2026-05-25 18:12:14 | INFO | Epoch 2 | batch 150/1829 | loss=1.0941 | giou=0.4976 | bbox=0.0516 | ce=0.0472 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1392 | aux_mask=1814 | pos=284 | targets=284 | preds=3 | centerness=[-1.941, -0.790] | train_seen=300
2026-05-25 18:14:01 | INFO | Epoch 2 | batch 200/1829 | loss=1.7817 | giou=0.7075 | bbox=0.2389 | ce=0.0366 | aux_giou=0.0399 | aux_bbox=0.0046 | aux_ce=0.0068 | mask=774 | aux_mask=1098 | pos=85 | targets=85 | preds=29 | centerness=[-4.031, -0.484] | train_seen=400
2026-05-25 18:15:48 | INFO | Epoch 2 | batch 250/1829 | loss=1.6794 | giou=0.6811 | bbox=0.1480 | ce=0.0477 | aux_giou=0.0506 | aux_bbox=0.0107 | aux_ce=0.0094 | mask=1392 | aux_mask=1608 | pos=292 | targets=292 | preds=292 | centerness=[-3.366, -0.680] | train_seen=500
2026-05-25 18:17:34 | INFO | Epoch 2 | batch 300/1829 | loss=1.1332 | giou=0.5088 | bbox=0.0603 | ce=0.0553 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1280 | aux_mask=1401 | pos=308 | targets=308 | preds=0 | centerness=[-2.161, -0.858] | train_seen=600
2026-05-25 18:19:21 | INFO | Epoch 2 | batch 350/1829 | loss=1.4661 | giou=0.6670 | bbox=0.0821 | ce=0.0500 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=645 | aux_mask=958 | pos=155 | targets=155 | preds=95 | centerness=[-2.599, -0.528] | train_seen=700
2026-05-25 18:21:07 | INFO | Epoch 2 | batch 400/1829 | loss=1.2884 | giou=0.5839 | bbox=0.0635 | ce=0.0571 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1191 | aux_mask=1237 | pos=312 | targets=312 | preds=783 | centerness=[-2.128, -0.327] | train_seen=800
